participant_id,resp.corr_mean.incongruent.glad.adult,resp.corr_std.incongruent.glad.adult,resp.rt_mean.incongruent.glad.adult,resp.rt_std.incongruent.glad.adult,resp.corr_mean.incongruent.trist.adult,resp.corr_std.incongruent.trist.adult,resp.rt_mean.incongruent.trist.adult,resp.rt_std.incongruent.trist.adult,resp.corr_mean.incongruent.neu.adult,resp.corr_std.incongruent.neu.adult,resp.rt_mean.incongruent.neu.adult,resp.rt_std.incongruent.neu.adult,resp.corr_mean.congruent.glad.adult,resp.corr_std.congruent.glad.adult,resp.rt_mean.congruent.glad.adult,resp.rt_std.congruent.glad.adult,resp.corr_mean.congruent.trist.adult,resp.corr_std.congruent.trist.adult,resp.rt_mean.congruent.trist.adult,resp.rt_std.congruent.trist.adult,resp.corr_mean.congruent.neu.adult,resp.corr_std.congruent.neu.adult,resp.rt_mean.congruent.neu.adult,resp.rt_std.congruent.neu.adult,resp.corr_mean.incongruent.glad.baby,resp.corr_std.incongruent.glad.baby,resp.rt_mean.incongruent.glad.baby,resp.rt_std.incongruent.glad.baby,resp.corr_mean.incongruent.trist.baby,resp.corr_std.incongruent.trist.baby,resp.rt_mean.incongruent.trist.baby,resp.rt_std.incongruent.trist.baby,resp.corr_mean.incongruent.neu.baby,resp.corr_std.incongruent.neu.baby,resp.rt_mean.incongruent.neu.baby,resp.rt_std.incongruent.neu.baby,resp.corr_mean.congruent.glad.baby,resp.corr_std.congruent.glad.baby,resp.rt_mean.congruent.glad.baby,resp.rt_std.congruent.glad.baby,resp.corr_mean.congruent.trist.baby,resp.corr_std.congruent.trist.baby,resp.rt_mean.congruent.trist.baby,resp.rt_std.congruent.trist.baby,resp.corr_mean.congruent.neu.baby,resp.corr_std.congruent.neu.baby,resp.rt_mean.congruent.neu.baby,resp.rt_std.congruent.neu.baby,sex,age
1203,1.0,0.0,0.834701752662659,0.1431689078758755,0.9,0.14142135623731,0.925454306602478,0.2781871378706343,1.0,0.0,0.88201504945755,0.342748568313229,0.9583333333333334,0.058925565098879,1.066210811336835,0.5520721400429687,0.958333333333333,0.058925565098879,0.970267837246259,0.317773624340081,1.0,0.0,0.73930058379968,0.1153904391310168,1.0,0.0,0.838525940974553,0.1918489246230309,1.0,0.0,0.93509512146314,0.140123864101059,1.0,0.0,0.74944062034289,0.1599486668959158,0.875,0.176776695296637,0.854535475373268,0.2325926360583759,0.9583333333333334,0.058925565098879,0.924575318892797,0.271926342237961,0.958333333333333,0.058925565098879,1.000786791245143,0.3188716129640602,f,31.0
1204,0.9,0.14142135623731,0.631354975700378,0.1237662942771905,1.0,0.0,0.65177743434906,0.033000687356121,1.0,0.0,0.577718039353689,0.0197825014079988,0.9166666666666666,0.117851130197758,0.653005376458168,0.1283203687332544,0.958333333333333,0.058925565098879,0.616640264789263,0.0997124559805481,1.0,0.0,0.575910424192747,0.0626550642105185,1.0,0.0,0.621619453032812,0.0951531486419896,0.75,0.353553390593274,0.585500930746396,0.1347505272619795,1.0,0.0,0.535518651207288,0.0617795108479039,0.958333333333333,0.058925565098879,0.704160466790199,0.1730853636685792,0.9583333333333334,0.058925565098879,0.581735293070475,0.1236981572233239,1.0,0.0,0.580491123100122,0.0837948750207464,m,35.0
1205,1.0,0.0,0.855834305286407,0.1948226018417464,1.0,0.0,0.771843600273132,0.1091091797984986,1.0,0.0,0.715295652548472,0.0781681302550356,0.9166666666666666,0.117851130197758,0.743843207756678,0.1393011786915008,1.0,0.0,0.842596833904584,0.1624712084628349,0.958333333333333,0.058925565098879,0.774753148357074,0.142932393108533,0.916666666666667,0.117851130197758,0.800638139247894,0.0980608667452251,1.0,0.0,0.831005622943242,0.1645727802823718,1.0,0.0,0.748015552759171,0.0804810228607491,0.958333333333333,0.058925565098879,0.850434452295303,0.1357300691927068,0.9166666666666666,0.117851130197758,0.863746479153633,0.1385095555093622,0.958333333333333,0.058925565098879,0.79424532254537,0.1768311209270226,f,33.0
1206,1.0,0.0,0.734623801708221,0.0792649289329795,1.0,0.0,0.852039206027985,0.1515487044548234,1.0,0.0,0.773828436930974,0.1459313977733936,1.0,0.0,0.736919646461805,0.0914120714398557,0.958333333333333,0.058925565098879,0.789671947558721,0.139133729262374,0.958333333333333,0.058925565098879,0.700381522377332,0.1068718937218637,1.0,0.0,0.840831279754639,0.0937332423891069,1.0,0.0,0.83776444196701,0.1555584404207762,1.0,0.0,0.839601506789525,0.1386997923345751,1.0,0.0,0.820891325672468,0.1073334052253025,1.0,0.0,0.830718954404195,0.1461214484500454,1.0,0.0,0.744530275464058,0.0853206365959129,m,25.0
1207,1.0,0.0,0.936832451820374,0.1954310843231299,1.0,0.0,0.804329264163971,0.2083662555883721,1.0,0.0,0.771048158407211,0.0703016738615589,1.0,0.0,0.922319829463959,0.3013059620308245,0.916666666666667,0.117851130197758,0.786469141642253,0.1194460933859674,1.0,0.0,0.756350075205167,0.1211648699661349,1.0,0.0,0.913468798001607,0.2045902716638509,0.9166666666666666,0.117851130197758,0.840047458807627,0.2242655444646921,1.0,0.0,0.702929457028707,0.0688407025292469,1.0,0.0,0.935145422816277,0.18757099491352,0.9583333333333334,0.058925565098879,0.885868360598882,0.133502934886974,0.875,0.058925565098879,0.74357175330321,0.0958358713920738,m,32.0
1208,1.0,0.0,0.7368732213974,0.0951450606617608,1.0,0.0,0.7295485496521,0.0558937343610461,1.0,0.0,0.728487193584442,0.0796755544389555,0.9583333333333334,0.058925565098879,0.73701703051726,0.1123400293599087,0.958333333333333,0.058925565098879,0.788358042637507,0.1393963568121559,1.0,0.0,0.750977630416552,0.0948629324676253,0.75,0.353553390593274,0.823619027932485,0.2074065521792478,0.9166666666666666,0.117851130197758,0.942542274792989,0.3051793592638447,1.0,0.0,0.687153875827789,0.0384592661962438,0.833333333333333,0.235702260395516,0.805944124857585,0.1257703895679427,0.8333333333333334,0.235702260395516,0.811469882726669,0.0769836282002106,1.0,0.0,0.76656885445118,0.1459629446895227,m,63.0
1209,1.0,0.0,0.87340612411499,0.2704189426397866,1.0,0.0,0.819007766246796,0.1731119931011358,0.916666666666667,0.117851130197758,0.792939752340317,0.1017242918912293,1.0,0.0,0.940032318234444,0.3063376178812053,1.0,0.0,0.897374699513118,0.1770645301740876,1.0,0.0,0.893739382425944,0.2056035099999527,1.0,0.0,1.053182442982992,0.4369544524859797,1.0,0.0,0.925267885128657,0.1222887578285227,1.0,0.0,0.951858013868332,0.124499591840591,1.0,0.0,0.903201475739479,0.169041343699947,1.0,0.0,1.015166153510412,0.2862160310280596,1.0,0.0,0.859860599040985,0.1462233630419923,f,48.0
1210,1.0,0.0,0.692144727706909,0.1131249610274066,1.0,0.0,0.742518842220306,0.1027675205198264,1.0,0.0,0.774654020865758,0.1129349321266371,1.0,0.0,0.729636843005816,0.1118269652362706,1.0,0.0,0.79587684571743,0.1102381344145307,1.0,0.0,0.745837564269702,0.0734529024065468,1.0,0.0,0.652902513742447,0.0613084776689489,1.0,0.0,0.695400883754094,0.0774793102608539,1.0,0.0,0.720322618881861,0.0959084342162511,1.0,0.0,0.697376648585002,0.06391511273539,1.0,0.0,0.803681463003159,0.1662832855435331,1.0,0.0,0.694955532749494,0.0754857292039314,m,69.0
1212,1.0,0.0,0.894206535816193,0.0454913442395406,1.0,0.0,1.059003305435181,0.2867039117072506,1.0,0.0,0.942208548386892,0.0798884732930569,0.9583333333333334,0.058925565098879,0.929776007930438,0.1315382525191891,0.916666666666667,0.117851130197758,0.964936777949333,0.1101507850716262,1.0,0.0,0.943097993731499,0.0968114725924568,1.0,0.0,0.994414180517197,0.1823971812553345,1.0,0.0,1.111885776122411,0.3766207682028282,0.916666666666667,0.117851130197758,0.936102747917175,0.1502425989075797,1.0,0.0,1.098148460189501,0.2489393773031378,1.0,0.0,1.022119179368019,0.1873615953211717,1.0,0.0,1.086930816372236,0.2367140376408741,f,62.0
1213,1.0,0.0,0.773986995220184,0.1418669664372541,1.0,0.0,0.848296642303467,0.2436598326558892,0.916666666666667,0.117851130197758,0.918959577878316,0.195870987839713,0.9583333333333334,0.058925565098879,0.91685743133227,0.3297098963295922,0.875,0.176776695296637,0.933842986822128,0.1772011597202524,0.916666666666667,0.117851130197758,0.826903407772382,0.1091013777144013,1.0,0.0,0.787668744723002,0.2270885474024553,1.0,0.0,1.02896523475647,0.4026046585580033,1.0,0.0,0.755136569341024,0.0953243526528785,1.0,0.0,0.902253031730652,0.262330537429819,0.9583333333333334,0.058925565098879,1.019191607832909,0.2616637286273132,0.958333333333333,0.058925565098879,0.940875286857287,0.2603964642107389,f,34.0
