participant_id,respc.corr_mean.incongruent,respc.corr_std.incongruent,respc.rt_mean.incongruent,respc.rt_std.incongruent,respc.corr_mean.congruent,respc.corr_std.congruent,respc.rt_mean.congruent,respc.rt_std.congruent,sex,age
1203,1.0,0.0,0.715110540390015,0.2545403739924077,0.9666666666666668,0.074535599249993,0.773110397656759,0.2573069915238598,f,31.0
1204,1.0,0.0,0.606517577171326,0.1260100706299347,1.0,0.0,0.67750076452891,0.1736841328475885,m,35.0
1205,1.0,0.0,0.995745436350504,0.2658985353516571,0.9666666666666668,0.074535599249993,1.118970553080241,0.252093554092101,f,33.0
1206,0.933333333333333,0.0912870929175277,0.704572534561157,0.1555701566341125,0.9666666666666668,0.074535599249993,0.816686471303304,0.2197710535364084,m,25.0
1207,1.0,0.0,0.683635600407918,0.2242033237990122,0.9,0.223606797749979,0.797773973147074,0.2247229782137291,m,32.0
1208,0.933333333333333,0.149071198499986,0.630466341972351,0.1210409371820353,0.9666666666666668,0.074535599249993,0.722233899434408,0.1577768365620215,m,63.0
1209,0.966666666666667,0.074535599249993,0.802695759137471,0.1709038677384805,0.9666666666666668,0.074535599249993,0.926135039329529,0.3676399547133075,f,48.0
1210,1.0,0.0,0.751313352584839,0.1728810748464309,1.0,0.0,0.854102222124736,0.1828093367434679,m,69.0
1212,1.0,0.0,1.220918528238932,0.33374479997847,1.0,0.0,1.359557406107585,0.4378860968342104,f,62.0
1213,0.966666666666667,0.074535599249993,0.892551453908284,0.1848981874279118,0.9333333333333332,0.149071198499986,0.918663422266642,0.202476707814041,f,34.0
1214,1.0,0.0,0.588242204984029,0.0949305271717417,0.9333333333333332,0.149071198499986,0.76503070195516,0.354212544203729,m,31.0
1215,1.0,0.0,0.708548029263814,0.1675444542102508,1.0,0.0,0.819298195838928,0.2445707168100051,m,40.0
1217,0.966666666666667,0.074535599249993,0.727152450879415,0.1512331205327323,1.0,0.0,0.765044705073039,0.2138089456102258,m,31.0
1220,1.0,0.0,1.237017218271891,0.5189498436560764,0.9333333333333332,0.149071198499986,1.306124416987101,0.4340498326589237,f,56.0
1221,0.966666666666667,0.074535599249993,0.560104195276896,0.12478734143873,0.9666666666666668,0.074535599249993,0.61424237092336,0.2003688775542802,f,30.0
1222,1.0,0.0,0.745140488942464,0.2115323283188527,0.9666666666666668,0.074535599249993,0.851795450846354,0.2451030211157623,m,30.0
1223,1.0,0.0,0.683723632494609,0.1430596319686624,0.9,0.1658226921675207,0.716994333267212,0.1859788267049416,m,31.0
1226,0.9,0.223606797749979,0.645925172170003,0.1163307632624243,0.9666666666666668,0.074535599249993,0.794499373435974,0.2605802108080961,f,47.0
1227,1.0,0.0,0.67152636051178,0.1307739015267916,1.0,0.0,0.746000258127848,0.1768229370664071,f,48.0
1228,0.933333333333333,0.149071198499986,0.661370595296224,0.1093985894779971,0.9666666666666668,0.074535599249993,0.678695201873779,0.1476447485318667,f,30.0
1229,1.0,0.0,0.808952212333679,0.2867558854225567,0.9666666666666668,0.074535599249993,0.855864286422729,0.3263014554187794,f,43.0
1231,1.0,0.0,1.459266312917074,0.7299620249373314,0.9666666666666668,0.074535599249993,1.558599503835042,0.4257112198659786,m,56.0
1232,1.0,0.0,0.748700404167175,0.2366511061071681,0.8666666666666667,0.2403582914175137,1.040278434753418,0.3960346182294789,m,36.0
1235,0.966666666666667,0.074535599249993,0.731231594085693,0.2354980488617036,0.9333333333333332,0.149071198499986,0.863737893104553,0.3272239922570261,f,33.0
1236,1.0,0.0,1.098918581008911,0.3527893015696522,1.0,0.0,1.076083056131999,0.2996210921758948,f,41.0
1237,1.0,0.0,0.797012122472127,0.1676297054023203,0.9333333333333332,0.149071198499986,1.196285581588745,0.4340240257448825,f,62.0
1240,1.0,0.0,0.95349063873291,0.2637922527024408,0.9,0.223606797749979,1.17226923306783,0.2987477959307626,f,35.0
1241,0.933333333333333,0.149071198499986,1.198140891393026,0.6228334302719765,1.0,0.0,1.321498743693034,0.4891088210014768,m,39.0
1242,0.966666666666667,0.074535599249993,0.78054936726888,0.143599757354454,1.0,0.0,0.849753419558207,0.2019813291637485,m,41.0
1243,0.966666666666667,0.074535599249993,0.859315299987793,0.1458878996223942,0.9,0.223606797749979,1.183698256810506,0.4195097360395499,m,33.0
1244,1.0,0.0,1.024205366770427,0.263957598538654,1.0,0.0,1.227874342600505,0.5434935001182581,f,50.0
1245,1.0,0.0,0.780434974034627,0.2509668106587962,1.0,0.0,0.882976881663005,0.2564051399114618,f,58.0
1246,0.9,0.1658226921675207,0.624302275975545,0.1876906880958432,0.9333333333333332,0.149071198499986,0.596278063456217,0.141816487756962,m,31.0
1248,0.9,0.223606797749979,0.686773077646891,0.258131941439411,0.9333333333333332,0.149071198499986,0.732733249664307,0.2582422066003106,f,26.0
1252,1.0,0.0,1.182219489415487,0.2657518669854725,1.0,0.0,1.329082663853963,0.2957245857651724,f,58.0
1253,1.0,0.0,0.681428980827331,0.1498269723447138,1.0,0.0,0.74426056543986,0.2096044107491994,m,60.0
1254,1.0,0.0,0.789762989679972,0.276020559086821,0.9666666666666668,0.074535599249993,1.052125151952108,0.2824557352449957,m,70.0
1255,1.0,0.0,1.042634757359823,0.2563848422776605,1.0,0.0,1.220228370030721,0.411057633423264,f,77.0
1256,0.9,0.223606797749979,0.894932222366333,0.4288104982051246,0.9,0.223606797749979,0.835816709200541,0.3517784837678076,m,34.0
1260,1.0,0.0,1.056206353505452,0.3348998703314233,0.9666666666666668,0.074535599249993,1.176095771789551,0.3148798844163663,f,37.0
