participant_id;respc.corr_mean.incongruent;respc.corr_std.incongruent;respc.rt_mean.incongruent;respc.rt_std.incongruent;respc.corr_mean.congruent;respc.corr_std.congruent;respc.rt_mean.congruent;respc.rt_std.congruent
1203;1,000000000000000;0,0000000000000000;0,715110540390015;0,2545403739924077;0,9666666666666667;0,0745355992499930;0,773110397656759;0,2573069915238598
1204;1,000000000000000;0,0000000000000000;0,606517577171326;0,1260100706299347;1,0000000000000000;0,0000000000000000;0,677500764528910;0,1736841328475885
1205;1,000000000000000;0,0000000000000000;0,995745436350504;0,2658985353516571;0,9666666666666667;0,0745355992499930;1,118970553080241;0,2520935540921010
1206;0,933333333333333;0,0912870929175277;0,704572534561157;0,1555701566341125;0,9666666666666667;0,0745355992499930;0,816686471303304;0,2197710535364084
1207;1,000000000000000;0,0000000000000000;0,683635600407918;0,2242033237990122;0,9000000000000000;0,2236067977499790;0,797773973147074;0,2247229782137291
1208;0,933333333333333;0,1490711984999860;0,630466341972351;0,1210409371820353;0,9666666666666667;0,0745355992499930;0,722233899434408;0,1577768365620215
1209;0,966666666666667;0,0745355992499930;0,802695759137471;0,1709038677384805;0,9666666666666667;0,0745355992499930;0,926135039329529;0,3676399547133075
1210;1,000000000000000;0,0000000000000000;0,751313352584839;0,1728810748464309;1,0000000000000000;0,0000000000000000;0,854102222124736;0,1828093367434679
1212;1,000000000000000;0,0000000000000000;1,220918528238932;0,3337447999784700;1,0000000000000000;0,0000000000000000;1,359557406107585;0,4378860968342104
1213;0,966666666666667;0,0745355992499930;0,892551453908284;0,1848981874279118;0,9333333333333333;0,1490711984999860;0,918663422266642;0,2024767078140410
1214;1,000000000000000;0,0000000000000000;0,588242204984029;0,0949305271717417;0,9333333333333333;0,1490711984999860;0,765030701955160;0,3542125442037290
1215;1,000000000000000;0,0000000000000000;0,708548029263814;0,1675444542102508;1,0000000000000000;0,0000000000000000;0,819298195838928;0,2445707168100051
1216;0,900000000000000;0,2236067977499790;0,735960276921590;0,1608121358449265;1,0000000000000000;0,0000000000000000;0,716970332463582;0,1481927462643203
1217;0,966666666666667;0,0745355992499930;0,727152450879415;0,1512331205327323;1,0000000000000000;0,0000000000000000;0,765044705073039;0,2138089456102258
1220;1,000000000000000;0,0000000000000000;1,237017218271891;0,5189498436560764;0,9333333333333333;0,1490711984999860;1,306124416987101;0,4340498326589237
1221;0,966666666666667;0,0745355992499930;0,560104195276896;0,1247873414387300;0,9666666666666667;0,0745355992499930;0,614242370923360;0,2003688775542802
1222;1,000000000000000;0,0000000000000000;0,745140488942464;0,2115323283188527;0,9666666666666667;0,0745355992499930;0,851795450846354;0,2451030211157623
1223;1,000000000000000;0,0000000000000000;0,683723632494609;0,1430596319686624;0,9000000000000000;0,1658226921675207;0,716994333267212;0,1859788267049416
1226;0,900000000000000;0,2236067977499790;0,645925172170003;0,1163307632624243;0,9666666666666667;0,0745355992499930;0,794499373435974;0,2605802108080961
1227;1,000000000000000;0,0000000000000000;0,671526360511780;0,1307739015267916;1,0000000000000000;0,0000000000000000;0,746000258127848;0,1768229370664071
1228;0,933333333333333;0,1490711984999860;0,661370595296224;0,1093985894779971;0,9666666666666667;0,0745355992499930;0,678695201873779;0,1476447485318667
1229;1,000000000000000;0,0000000000000000;0,808952212333679;0,2867558854225567;0,9666666666666667;0,0745355992499930;0,855864286422729;0,3263014554187794
1231;1,000000000000000;0,0000000000000000;1,459266312917074;0,7299620249373314;0,9666666666666667;0,0745355992499930;1,558599503835042;0,4257112198659786
1232;1,000000000000000;0,0000000000000000;0,748700404167175;0,2366511061071681;0,8666666666666667;0,2403582914175137;1,040278434753418;0,3960346182294789
1235;0,966666666666667;0,0745355992499930;0,731231594085693;0,2354980488617036;0,9333333333333333;0,1490711984999860;0,863737893104553;0,3272239922570261
1236;1,000000000000000;0,0000000000000000;1,098918581008911;0,3527893015696522;1,0000000000000000;0,0000000000000000;1,076083056131999;0,2996210921758948
1237;1,000000000000000;0,0000000000000000;0,797012122472127;0,1676297054023203;0,9333333333333333;0,1490711984999860;1,196285581588745;0,4340240257448825
1240;1,000000000000000;0,0000000000000000;0,953490638732910;0,2637922527024408;0,9000000000000000;0,2236067977499790;1,172269233067830;0,2987477959307626
1241;0,933333333333333;0,1490711984999860;1,198140891393026;0,6228334302719765;1,0000000000000000;0,0000000000000000;1,321498743693034;0,4891088210014768
1242;0,966666666666667;0,0745355992499930;0,780549367268880;0,1435997573544540;1,0000000000000000;0,0000000000000000;0,849753419558207;0,2019813291637485
1243;0,966666666666667;0,0745355992499930;0,859315299987793;0,1458878996223942;0,9000000000000000;0,2236067977499790;1,183698256810506;0,4195097360395499
1244;1,000000000000000;0,0000000000000000;1,024205366770427;0,2639575985386540;1,0000000000000000;0,0000000000000000;1,227874342600505;0,5434935001182581
1245;1,000000000000000;0,0000000000000000;0,780434974034627;0,2509668106587962;1,0000000000000000;0,0000000000000000;0,882976881663005;0,2564051399114618
1246;0,900000000000000;0,1658226921675207;0,624302275975545;0,1876906880958432;0,9333333333333333;0,1490711984999860;0,596278063456217;0,1418164877569620
1248;0,900000000000000;0,2236067977499790;0,686773077646891;0,2581319414394110;0,9333333333333333;0,1490711984999860;0,732733249664307;0,2582422066003106
1252;1,000000000000000;0,0000000000000000;1,182219489415487;0,2657518669854725;1,0000000000000000;0,0000000000000000;1,329082663853963;0,2957245857651724
1253;1,000000000000000;0,0000000000000000;0,681428980827331;0,1498269723447138;1,0000000000000000;0,0000000000000000;0,744260565439860;0,2096044107491994
